path,text
001/001_20020610_122258_000.wav,ناصر
001/001_20020610_122258_001.wav,عزيز
001/001_20020610_122258_002.wav,محاسن
001/001_20020610_122258_003.wav,  إسمها فرح زائد
001/001_20020610_122258_004.wav,بشهر خمسة خمسة خمسة ألف وتسع مئة وثمانين
001/001_20020610_122258_005.wav,بالعقبة
001/001_20020610_122258_006.wav,إثنين وعشرين
001/001_20020610_122258_008.wav,ستين كيلو
001/001_20020610_122258_009.wav,الأردن
001/001_20020610_122258_010.wav,  بالعقبة
001/001_20020610_122258_011.wav,يعني في العقبة على شارع رباط
001/001_20020610_122258_012.wav,سنة الثمانين
001/001_20020610_122258_013.wav,بيتي على شارع رباط
001/001_20020610_122258_014.wav,عندي بكالوريوس فلسفة
001/001_20020610_122258_015.wav,أنا مسلمة
001/001_20020610_122258_016.wav,بشتغل معلمة بالعقبة
001/001_20020610_122258_017.wav,حوالي مئة دينار بالشهر
001/001_20020610_122258_018.wav,أنا مش متزوجة
001/001_20020610_122258_019.wav,ما عندي أولاد
001/001_20020610_122258_020.wav,ثمانية
001/001_20020610_122258_021.wav,ستة
001/001_20020610_122614_000.wav,نصر_الله
001/001_20020610_122614_001.wav,سعادة
001/001_20020610_122614_002.wav,إنتصار
001/001_20020610_122614_003.wav,إسمها نهاية واصف
001/001_20020610_122614_004.wav,والله مش متأكدة بالضبط   ما بعرف   تاريخ ميلادي بس يمكن ولدانة سنة الإثنين وأربعين
001/001_20020610_122614_005.wav,مش عارفة بالضبط بس يمكن في الكرك
001/001_20020610_122614_006.wav,عمري حوالي يمكن ستين سنة
001/001_20020610_122614_007.wav,والله الطول ما بعرف الطول بس يمكن متر وربع
001/001_20020610_122614_008.wav,الوزن حوالي خمسين كيلو
001/001_20020610_122614_009.wav,الأردن
001/001_20020610_122614_010.wav,بعمان
001/001_20020610_122614_011.wav,عايشة بجبل عمان
001/001_20020610_122614_012.wav,سنة الأربعة وأربعين
001/001_20020610_122614_013.wav,جنب الحاووز
001/001_20020610_122614_014.wav,  عندي إبتدائي بس دارسة إبتدائي يعني ما كملت
001/001_20020610_122614_015.wav,أنا مسيحية
001/001_20020610_122614_016.wav,ما بشتغل أنا بس يعني بالبيت بنظف وبمسح وبكنس ويعني
001/001_20020610_122614_017.wav,حوالي مئة دينار بالشهر بيجينا من الشقة بنأجرها
001/001_20020610_122614_018.wav,أنا أرملة جوزي مات يعني
001/001_20020610_122614_019.wav,إثنين الله يخليهم
001/001_20020610_122614_020.wav,هم الإثنين
001/001_20020610_122614_021.wav,ما عندي إخوة ولا أخوات
001/001_20020610_122944_000.wav,أنثى
001/001_20020610_122944_001.wav,إسمها رنا
001/001_20020610_122944_002.wav,عمرها خمس سنين
001/001_20020610_122944_003.wav,  بالسوبرماركت
001/001_20020610_122944_004.wav,كانت بالسوبرماركت مع أمها
001/001_20020610_122944_005.wav,ساعتين حوالي ساعتين
001/001_20020610_122944_006.wav,حوالي عشرين كيلو
001/001_20020610_122944_007.wav,أشقر
001/001_20020610_122944_008.wav,يعني عسلي
001/001_20020610_122944_009.wav,بيضاء هي
001/001_20020610_122944_010.wav,ما عندها علامات فارقة بس كانت حاطة على على على شعرها وردة
001/001_20020610_122944_011.wav,مش عارفة دينها ما بعرف ما بعرف أنا شو هي دينها
001/001_20020610_122944_012.wav,ما في صورة سووري
001/001_20020610_122944_013.wav,  والله مش عارفة الطول بالضبط بس يعني حوالي مئة سنتيمتر  
001/001_20020610_122944_014.wav,ما بتشتغل عمرها خمس سنين بنت صغيرة يعني هي
001/001_20020610_122944_015.wav,ما بتشتغل
001/001_20020610_122944_016.wav,عايشة مع أهلها بجبل حسين
001/001_20020610_122944_017.wav,والله ما بعرفها أنا بس أمها أجت على السوبرماركت يلي أنا بشتغل فيه
001/001_20020610_122944_018.wav,هي والله ما بعرف شو بعرفني لازم تسألي أمها
001/001_20020610_122944_019.wav,كانت لابسة شورت   شورت لونه أحمر وتيشيرت   لونها أبيض
001/001_20020610_123343_000.wav,ذكر
001/001_20020610_123343_001.wav,إسمه خالد
001/001_20020610_123343_002.wav,عمره إثنين وعشرين سنة
001/001_20020610_123343_003.wav,شفته حوالي قبل ثلاثة أيام
001/001_20020610_123343_004.wav,  شفته بالحفلة يلي أجا عليها كنا إحنا معزومين مع بعض
001/001_20020610_123343_005.wav,له يعني حوالي يومين
001/001_20020610_123343_006.wav,وزنه حوالي سبعين
001/001_20020610_123343_007.wav,شعره لونه بني غامق
001/001_20020610_123343_008.wav,لون عينيه أخضر
001/001_20020610_123343_009.wav,هو أسمراني شوي
001/001_20020610_123343_010.wav,  هي إجره كانت مكسورة
001/001_20020610_123343_011.wav,مسيحي
001/001_20020610_123343_012.wav,نعم
001/001_20020610_123343_013.wav,حوالي مئة وسبعين
001/001_20020610_123343_014.wav,هو كان طالب في الجامعة الأردنية
001/001_20020610_123343_015.wav,  يعني مرات بيروح مع أبوه على الشغل أبوه بيشتغل مهندس مدني
001/001_20020610_123343_016.wav,عايش مع أهله   بالشميساني
001/001_20020610_123343_017.wav,ما   مش قرائب إحنا
001/001_20020610_123343_018.wav,يعني هو كان شوي متضايق بس مش يعني ما أظنش أنه يعني هو هرب من بيت أهله مش عارفين إيش صار فيه
001/001_20020610_123343_019.wav,هو كان شوي متطقم كان عالحفلة لابس بنطلون هيك بيج حلو وكان لابس   قميص أبيض وحاط جرافتة
